Bytes,Description
 F0 9F 8D 80,four_leaf_clover
 F0 9F 8D 81,maple_leaf
 F0 9F 8D 82,fallen_leaf
 F0 9F 8D 83,leaf_fluttering_in_wind
 F0 9F 8D 84,mushroom
 F0 9F 8D 85,tomato
 F0 9F 8D 86,aubergine
 F0 9F 8D 87,grapes
 F0 9F 8D 88,melon
 F0 9F 8D 89,watermelon
 F0 9F 8D 8A,tangerine
 F0 9F 8D 8C,banana
 F0 9F 8D 8D,pineapple
 F0 9F 8D 8E,red_apple
 F0 9F 8D 8F,green_apple
 F0 9F 8D 91,peach
 F0 9F 8D 92,cherries
 F0 9F 8D 93,strawberry
 F0 9F 8D 94,hamburger
 F0 9F 8D 95,slice_of_pizza
 F0 9F 8D 96,meat_on_bone
 F0 9F 8D 97,poultry_leg
 F0 9F 8D 98,rice_cracker
 F0 9F 8D 99,rice_ball
 F0 9F 8D 9A,cooked_rice
 F0 9F 8D 9B,curry_and_rice
 F0 9F 8D 9C,steaming_bowl
 F0 9F 8D 9D,spaghetti
 F0 9F 8D 9E,bread
 F0 9F 8D 9F,french_fries
 F0 9F 8D A0,roasted_sweet_potato
 F0 9F 8D A1,dango
 F0 9F 8D A2,oden
 F0 9F 8D A3,sushi
 F0 9F 8D A4,fried_shrimp
 F0 9F 8D A5,fish_cake_with_swirl_design
 F0 9F 8D A6,soft_ice_cream
 F0 9F 8D A7,shaved_ice
 F0 9F 8D A8,ice_cream
 F0 9F 8D A9,doughnut
 F0 9F 8D AA,cookie
 F0 9F 8D AB,chocolate_bar
 F0 9F 8D AC,candy
 F0 9F 8D AD,lollipop
 F0 9F 8D AE,custard
 F0 9F 8D AF,honey_pot
 F0 9F 8D B0,shortcake
 F0 9F 8D B1,bento_box
 F0 9F 8D B2,pot_of_food
 F0 9F 8D B3,cooking
 F0 9F 8D B4,fork_and_knife
 F0 9F 8D B5,teacup_without_handle
 F0 9F 8D B6,sake_bottle_and_cup
 F0 9F 8D B7,wine_glass
 F0 9F 8D B8,cocktail_glass
 F0 9F 8D B9,tropical_drink
 F0 9F 8D BA,beer_mug
 F0 9F 8D BB,clinking_beer_mugs
 F0 9F 8E 80,ribbon
 F0 9F 8E 81,wrapped_present
 F0 9F 8E 82,birthday_cake
